@relation chemical_pottery

@ATTRIBUTE group  {1,2,3,4,5,6,7}
@ATTRIBUTE Formula   STRING
@ATTRIBUTE Na2O   NUMERIC
@ATTRIBUTE MgO   NUMERIC
@ATTRIBUTE Al2O3   NUMERIC
@ATTRIBUTE SiO2   NUMERIC
@ATTRIBUTE Cl   NUMERIC
@ATTRIBUTE K2O   NUMERIC
@ATTRIBUTE TiO2   NUMERIC
@ATTRIBUTE Cr2O3   NUMERIC
@ATTRIBUTE MnO   NUMERIC
@ATTRIBUTE Fe2O3   NUMERIC
@ATTRIBUTE NiO   NUMERIC
@ATTRIBUTE CuO   NUMERIC
@ATTRIBUTE ZnO   NUMERIC
@ATTRIBUTE Rb2O   NUMERIC
@ATTRIBUTE SrO   NUMERIC
@ATTRIBUTE Y2O3   NUMERIC
@ATTRIBUTE ZrO2   NUMERIC
@ATTRIBUTE Nb2O5   NUMERIC
@ATTRIBUTE BaO   NUMERIC

@DATA
1,"0119",0.173,1.08,13.5,67.6,0.0615,4.45,1.59,0.048,0.0266,9.76,0,0,0,0.0345,0.0169,0.0054,0.128,0.004,0.009
1,"0120",0.487,1.24,12.6,70,0.0606,3.96,1.42,0.0309,0.0254,8.97,0.0057,0.0077,0.022,0.0314,0.0146,0.0048,0.0935,0.0035,0.0029
1,"0121",0.489,1.36,13.6,67.9,0.0786,4.86,1.29,0.0326,0.0305,9.16,0.0054,0.0077,0.0213,0.0354,0.0135,0.0069,0.0855,0.0059,0.0159
1,"0122",0.592,1.42,13.7,67.5,0.0671,4.3,1.4,0.0506,0.0351,9.4,0.0097,0.0105,0.023,0.0346,0.0125,0.0022,0.0856,0.0034,0.0088
1,"0123",0.589,1.31,12.8,69.2,0.0559,4.09,1.54,0.0263,0.0355,9.13,0.0051,0.007,0.0214,0.0339,0.0135,0.0064,0.0994,0,0
1,"0124",0.574,1.17,12.9,70.1,0.0672,4.32,1.3,0.0326,0.0277,8.15,0.006,0.0072,0.017,0.033,0.0124,0.0035,0.0859,0.0029,0
1,"0126",1.02,2.19,14.2,63.1,0.041,5.26,1.72,0.0528,0.0506,11,0,0,0.0245,0.0448,0.0176,0.0075,0.0846,0.0063,0
1,"0011cr",0.387,1.08,12.6,69.5,0.0587,4.94,1.59,0.0347,0.0354,8.86,0.0025,0.0071,0.0357,0.0366,0.0133,0.0079,0.104,0.0059,0.0523
1,"0006cr",0.823,0.993,10.4,75.5,0.079,3.64,1.18,0.0272,0.0324,6.03,0.0066,0.0072,0.012,0.0236,0.0134,0.007,0.14,0.0026,0.0068
1,"0001cr",1.1,1.52,12,69.3,0.0655,4.85,1.41,0.0713,0.0388,8.05,0.0101,0.0104,0.0189,0.0352,0.0211,0.007,0.106,0.0039,0.021
2,"1002",0.602,2.14,12.3,69.8,0.0883,4.99,1.08,0.0213,0.0428,7.42,0.0053,0.0073,0.0164,0.0327,0.0173,0.0053,0.0757,0.0029,0.0137
2,"1012",0.626,1.83,12.1,69.2,0.0869,4.76,1.12,0.0236,0.0469,6.03,0.0057,0.0058,0.0121,0.0333,0.0192,0.0029,0.0714,0.0022,0
2,"1013",0.533,1.94,10.2,56.5,0.0805,4.55,1.18,0.0179,0.0377,6.6,0.0043,0.0077,0.0149,0.0291,0.0316,0.002,0.0666,0.0012,0.0064
2,"1014",0.569,1.93,13.2,68.5,0.0825,5,1.17,0.0521,0.0463,6.5,0.0114,0.0137,0.02,0.0311,0.0193,0.0038,0.0825,0.0017,0.0283
